Woord;Horen;Zien;Ruiken;Proeven;Voelen;Sensaties;Modality;ModalityExclusivity;MaxPercStrength;AvModalityStrength;Minkowski3;Concreteness;ConcretenessCategory;Imageability;ImageabilityCategory;SourceImageability;Frequency;Prevalence;Length;Nsyl;N_phonemes;PoS;OLD20;DLP_RT;DLP_Acc;DCP_RT;DCP_Acc
eieren;0,36;4,18;1,73;4,18;2,55;0,45;Joint;0,283783784;4,18;2,24;5,518374733;4,8;high;#N/B;#N/B;#N/B;1281;3,071819702;6;3;5;N;1,25;581,46;0,975;1004,87;1
eierschaal;0,75;3,67;0,17;0,92;3,00;0,00;Zien;0,431372549;3,67;1,42;4,263382143;4,733333333;high;#N/B;#N/B;#N/B;18;2,113900769;10;3;8;N;2,9;622,15;0,9;1170,99;0,99
eierstok;0,08;2,15;0,08;0,08;0,23;0,62;Zien;0,642857143;2,15;0,54;2,171428555;4,071428571;high;#N/B;#N/B;#N/B;16;2,220618374;8;3;8;N;2,85;567,00;1;1061,4;0,99
eiervormig;0,00;4,27;0,00;0,36;1,91;0,00;Zien;0,652777778;4,27;1,09;4,396998074;4,2;high;#N/B;#N/B;#N/B;0;0,682693325;10;4;10;ADJ;2,1;738,42;0,675;1409,1;0,78
eigeel;0,45;4,18;1,09;4,00;1,18;0,00;Zien;0,383333333;4,18;1,82;5,194629594;4,666666667;high;#N/B;#N/B;#N/B;7;2,548803857;6;2;4;N;2;568,80;0,756097561;1137,48;0,99
eigen;1,90;2,50;0,90;0,60;2,00;2,40;Zien;0,184466019;2,5;1,72;3,563546733;1,533333333;low;#N/B;#N/B;#N/B;15566;3,023135485;5;2;3;ADJ;1,7;561,50;0,875;997,34;1
eigenaar;1,46;2,08;0,23;0,00;1,15;0,92;Zien;0,355263158;2,08;0,97;2,433782761;2,933333333;low;3,4;low;van Loon;1468;2,626902018;8;3;6;N;2,45;493,50;1;951,37;0,99
eigenaardig;1,92;2,92;0,58;0,58;0,75;1,67;Zien;0,277227723;2,92;1,40;3,341248551;1,6;low;3,35;low;de Deyne et al. 2019;170;2,789557295;11;4;9;ADJ;3,1;507,06;1;1091,82;1
eigenares;0,82;2,09;0,00;0,00;0,27;0,18;Zien;0,621621622;2,09;0,56;2,133788411;2,866666667;low;#N/B;#N/B;#N/B;35;2,1787219;9;4;8;N;2,8;603,10;0,975;1151,93;0,98
eigenbelang;1,18;0,91;0,00;0,00;0,09;1,18;Joint;0,351351351;1,18;0,56;1,594426355;1,333333333;low;#N/B;#N/B;#N/B;65;2,370926725;11;4;8;N;4,25;649,61;0,951219512;1077,56;0,99
