Woord;Horen;Zien;Ruiken;Proeven;Voelen;Sensaties;Modality;ModalityExclusivity;MaxPercStrength;AvModalityStrength;Minkowski3;Concreteness;ConcretenessCategory;Imageability;ImageabilityCategory;SourceImageability;Frequency;Prevalence;Length;Nsyl;N_phonemes;PoS;OLD20;DLP_RT;DLP_Acc;DCP_RT;DCP_Acc
tortelduif;1,25;3,75;0,08;0,00;1,08;1,25;Zien;0,505617978;3,75;1,24;3,868931677;2,933333333;low;#N/B;#N/B;#N/B;4;2,419750311;10;3;9;N;3,85;598,96;0,926829268;1042,13;0,99
tortilla;0,25;4,08;3,17;4,25;1,83;0,58;Proeven;0,282352941;4,25;2,36;5,677207888;4,714285714;high;#N/B;#N/B;#N/B;28;2,289415129;8;3;8;N;3,4;652,81;1;1218,65;0,99
totaal;0,27;1,09;0,18;0,18;0,36;0,36;Zien;0,37037037;1,09;0,41;1,125768182;2,066666667;low;4,25;high;de Deyne et al. 2019;2128;2,863382081;6;2;5;ADJ;1,9;480,90;0,975609756;907,3;1
totaalbeeld;1,17;2,75;0,83;0,83;0,67;0,58;Zien;0,317073171;2,75;1,14;2,885982174;2,333333333;low;#N/B;#N/B;#N/B;7;2,591388733;11;3;9;N;4,1;548,61;1;1108,83;0,99
totalitair;1,18;1,73;0,09;0,00;0,18;0,36;Zien;0,487179487;1,73;0,59;1,899977176;1,133333333;low;#N/B;#N/B;#N/B;3;1,673165542;10;4;9;ADJ;3,15;662,72;0,87804878;1368,98;0,94
totalitarisme;0,67;1,00;0,00;0,00;0,00;0,33;Zien;0,5;1;0,33;1,100642416;1,285714286;low;#N/B;#N/B;#N/B;0;0,912517999;13;6;13;N;4,25;728,43;0,975;1962,51;0,76
totaliteit;0,23;2,62;0,23;0,54;0,92;0,62;Zien;0,462686567;2,62;0,86;2,672614015;1,8;low;#N/B;#N/B;#N/B;6;2,524123026;10;4;9;N;2,25;583,05;1;1173,13;0,99
toucheren;0,90;2,20;0,00;0,00;3,50;0,90;Voelen;0,466666667;3,5;1,25;3,802514495;2,75;low;#N/B;#N/B;#N/B;0;1,219841987;9;3;6;WW;2,5;581,74;0,925;1148,03;0,93
toupet;0,20;3,70;0,00;0,00;3,00;0,00;Zien;0,536231884;3,7;1,15;4,266459815;4,583333333;high;#N/B;#N/B;#N/B;43;1,461528567;6;2;5;N;1,95;668,85;0,675;1126,95;0,95
tour;0,27;2,82;0,00;0,00;0,09;0,00;Zien;0,885714286;2,82;0,53;2,81906446;3,866666667;high;#N/B;#N/B;#N/B;165;1,58151906;4;1;3;N;1,65;565,39;0,875;1170,86;0,95
tournedos;0,43;2,71;2,00;2,43;1,71;0,43;Zien;0,235294118;2,71;1,62;3,621985698;4,307692308;high;#N/B;#N/B;#N/B;0;1,523420876;9;3;7;N;3,45;666,89;0,725;1345,55;0,92
tournee;1,83;2,42;0,00;0,00;0,00;0,17;Zien;0,547169811;2,42;0,74;2,727056329;3,133333333;high;4,07;high;van Loon;264;2,27924015;7;2;5;N;2,45;544,38;1;1075,62;0,98
touw;0,18;4,00;0,18;0,00;3,55;0,00;Zien;0,505747126;4;1,32;4,770702089;4,933333333;high;6,289473684;high;de Deyne et al. 2008;1148;2,769915016;4;1;3;N;1,3;519,91;0,975;938,67;1
touwladder;0,00;4,18;0,45;0,00;2,64;0,18;Zien;0,56097561;4,18;1,24;4,507046065;4,666666667;high;#N/B;#N/B;#N/B;5;3,194454613;10;3;8;N;3,45;583,41;0,975;1089,4;1
touwtrekken;1,18;4,00;0,00;0,00;3,27;0,91;Zien;0,427184466;4;1,56;4,663996779;4,066666667;high;6,7;high;van Loon;0;2,833457479;11;3;8;WW;3,15;582,30;1;1066,95;1
tovenaar;2,08;3,17;0,08;0,00;1,08;1,00;Zien;0,426966292;3,17;1,24;3,505267327;2,8;low;5,9;high;van Loon;837;2,408569413;8;3;7;N;2,35;465,35;1;965,16;1
tovenares;1,50;3,00;0,08;0,17;0,42;0,42;Zien;0,52238806;3;0,93;3,125249363;2,8;low;#N/B;#N/B;#N/B;58;2,605663204;9;4;9;N;2,6;541,48;0,95;1220,64;0,98
tovenarij;0,83;2,58;0,08;0,08;0,58;0,58;Zien;0,526315789;2,58;0,79;2,631231521;2;low;#N/B;#N/B;#N/B;131;2,105366771;9;4;8;N;2,85;524,36;1;1220,42;1
toverbal;0,00;2,91;0,73;2,64;1,55;0,27;Zien;0,359550562;2,91;1,35;3,609825739;4,133333333;high;5,93;high;van Loon;11;2,116994138;8;3;8;N;2,7;590,34;0,925;1032,2;0,99
toverdrank;0,17;2,83;1,08;2,25;0,75;0,50;Zien;0,351648352;2,83;1,26;3,300670572;2,8;low;#N/B;#N/B;#N/B;84;2,726737709;10;3;10;N;3,1;514,51;0,975609756;1068,11;0,99
toveren;1,25;3,25;0,08;0,00;1,08;1,00;Zien;0,4875;3,25;1,11;3,378212491;2,933333333;low;#N/B;#N/B;#N/B;172;2,406634341;7;3;6;WW;1,65;495,83;1;998,21;0,99
toverfee;0,50;1,60;0,00;0,00;0,20;0,70;Zien;0,533333333;1,6;0,50;1,659722216;2,8;low;5,53;high;van Loon;10;2,705657766;8;3;7;N;2,75;633,61;0,9;1216,84;0,98
toverheks;0,90;2,10;0,00;0,00;0,20;0,00;Zien;0,65625;2,1;0,53;2,154291051;3,266666667;high;#N/B;#N/B;#N/B;0;1,878367005;9;3;9;N;2,85;591,23;0,975;1127,51;0,96
toverij;1,18;3,09;0,36;0,18;0,55;0,91;Zien;0,463768116;3,09;1,05;3,179689361;2,4;low;#N/B;#N/B;#N/B;58;1,156527023;7;3;6;N;1,9;536,79;0,975;1264,61;0,86
toverklank;1,75;0,38;0,00;0,00;0,00;0,25;Horen;0,736842105;1,75;0,40;1,757409064;2,5;low;#N/B;#N/B;#N/B;0;1,608642335;10;3;10;N;3,15;591,83;0,875;1160,03;0,92
toverkracht;1,15;2,15;0,00;0,00;0,69;0,69;Zien;0,459016393;2,15;0,78;2,301550621;2,266666667;low;#N/B;#N/B;#N/B;47;2,777745303;11;3;10;N;2,75;513,04;0,975;1076,44;1
toverkunst;1,92;3,23;0,31;0,08;1,00;1,15;Zien;0,41;3,23;1,28;3,514230256;2,6;low;#N/B;#N/B;#N/B;40;2,861933543;10;3;10;N;3,2;573,54;0,975609756;1040,46;0,99
toverslag;0,27;1,18;0,00;0,00;0,27;0,55;Zien;0,52;1,18;0,38;1,228373291;1,933333333;low;#N/B;#N/B;#N/B;15;1,952335488;9;3;9;N;2,55;538,71;1;1201,37;0,97
toverspreuk;3,38;1,08;0,00;0,00;0,15;0,62;Horen;0,647058824;3,38;0,87;3,427304202;2,466666667;low;4,43;high;van Loon;53;2,841806771;11;3;10;N;3,75;582,85;1;1049,1;1
toverstaf;0,17;3,58;0,00;0,00;1,83;0,33;Zien;0,605633803;3,58;0,99;3,737641069;4,4;high;#N/B;#N/B;#N/B;35;2,581040379;9;3;9;N;2,75;529,65;1;1060,38;0,99
toverstok;0,73;3,00;0,00;0,00;2,09;0,82;Zien;0,452054795;3;1,11;3,334430726;3,866666667;high;5,87;high;van Loon;22;2,852686092;9;3;9;N;2,7;501,93;1;1015,63;0,99
toverstokje;0,09;3,73;0,00;0,00;1,73;0,09;Zien;0,661290323;3,73;0,94;3,847063331;4,266666667;high;#N/B;#N/B;#N/B;15;2,508036648;11;4;11;N;3,7;535,15;0,975609756;1057,59;0,99
toverwoord;2,80;1,10;0,00;0,00;0,00;0,50;Horen;0,636363636;2,8;0,73;2,860584424;2,066666667;low;#N/B;#N/B;#N/B;31;2,244191001;10;3;9;N;2,8;620,58;0,87804878;1133,22;0,99
traag;1,23;3,00;0,00;0,00;0,46;0,62;Zien;0,565217391;3;0,88;3,079213039;2,6;low;4,7;high;de Deyne et al. 2019;428;2,709638455;5;1;4;ADJ;1,55;534,91;0,951219512;1044,67;1
traagheid;0,85;2,85;0,23;0,00;0,46;0,69;Zien;0,560606061;2,85;0,85;2,888650762;2,071428571;low;#N/B;#N/B;#N/B;21;2,946187831;9;2;7;N;2,55;522,31;0,975;1043,11;0,99
traan;0,18;3,00;0,09;1,55;1,55;1,45;Zien;0,372093023;3;1,30;3,346169722;4,733333333;high;6,27;high;van Loon;115;2,812702496;5;1;4;N;1,5;513,16;0,951219512;959,95;0,99
traangas;0,75;2,25;1,33;0,58;1,08;2,00;Zien;0,208333333;2,25;1,33;2,870520926;3,933333333;high;#N/B;#N/B;#N/B;90;2,611491141;8;2;7;N;2,8;584,36;0,925;1038;1
tracé;0,71;2,29;0,00;0,00;0,14;0,00;Zien;0,727272727;2,29;0,52;2,308915485;2,222222222;low;#N/B;#N/B;#N/B;0;1,301369358;5;2;5;N;2,8;598,30;0,725;1236,41;0,88
traceerbaar;0,55;2,27;0,00;0,00;0,45;0,00;Zien;0,694444444;2,27;0,55;2,289141769;1,933333333;low;#N/B;#N/B;#N/B;24;2,446971452;11;3;9;ADJ;3,8;638,47;0,875;1192,87;1
traceren;0,82;3,09;0,45;0,00;0,55;0,00;Zien;0,62962963;3,09;0,82;3,118706995;2,6;low;#N/B;#N/B;#N/B;286;2,543443592;8;3;7;WW;1,95;548,55;0,95;1109,36;0,99
trachten;0,90;1,30;0,00;0,00;0,90;1,20;Zien;0,302325581;1,3;0,72;1,752567659;2,066666667;low;3,3;low;van Loon;57;2,744286303;8;2;6;WW;1,55;557,69;0,975;1007,02;0,98
track;1,30;2,60;0,00;0,00;0,30;0,00;Zien;0,619047619;2,6;0,70;2,705339229;3,769230769;high;#N/B;#N/B;#N/B;20;1,274981833;5;1;4;N;1,8;622,02;0,9;1306,24;0,9
tractor;2,60;4,10;0,40;0,00;1,20;0,00;Zien;0,493975904;4,1;1,38;4,452824029;4,928571429;high;6,46875;high;de Deyne et al. 2008;105;2,260851835;7;2;7;N;2,35;555,01;1;1062,83;0,99
traditie;1,30;2,60;0,30;0,70;0,90;1,60;Zien;0,310810811;2,6;1,23;2,922769625;1,933333333;low;#N/B;#N/B;#N/B;638;3,124791704;8;3;8;N;2,55;522,66;1;1016,71;1
traditioneel;1,60;2,40;0,60;1,30;0,70;1,20;Zien;0,230769231;2,4;1,30;2,819087276;1,533333333;low;5,4;high;de Deyne et al. 2019;102;2,835102684;12;5;11;ADJ;3,25;513,80;1;1023,62;0,99
tragedie;2,50;2,50;0,00;0,00;0,00;1,75;Joint;0,37037037;2,5;1,13;3,320453771;2,4;low;#N/B;#N/B;#N/B;420;2,804923193;8;3;7;N;2,85;542,71;1;1027,22;1
tragiek;1,70;1,20;0,00;0,00;0,10;1,80;Sensaties;0,375;1,8;0,80;2,319184216;1,5;low;#N/B;#N/B;#N/B;17;1,978433149;7;2;6;N;2,45;606,44;0,9;1096,26;0,96
tragisch;1,73;2,00;0,00;0,00;0,00;2,73;Sensaties;0,422535211;2,73;1,08;3,221687574;1,533333333;low;#N/B;#N/B;#N/B;368;2,584879636;8;2;6;ADJ;2,45;509,89;0,975609756;1004,92;0,99
trailer;2,92;3,92;0,00;0,00;0,17;0,67;Zien;0,510869565;3,92;1,28;4,400199747;3,8;high;#N/B;#N/B;#N/B;168;1,888215832;7;2;6;N;1,8;558,10;0,95;1044,94;0,97
trainen;0,90;3,30;0,30;0,00;1,00;1,50;Zien;0,471428571;3,3;1,17;3,450122519;3,8;high;#N/B;#N/B;#N/B;809;2,368148714;7;2;5;WW;1,7;504,89;0,951219512;996,12;0,99
trainer;2,50;3,33;0,08;0,00;0,83;0,92;Zien;0,434782609;3,33;1,28;3,780033175;3,666666667;high;6,23;high;van Loon;356;2,567174903;7;2;6;N;1,7;526,35;1;961,61;0,99
training;1,69;3,31;0,38;0,00;1,31;1,08;Zien;0,425742574;3,31;1,29;3,54572933;2,733333333;low;#N/B;#N/B;#N/B;895;2,322847512;8;2;6;N;2,85;500,94;0,975609756;1055,76;0,99
trainingspak;0,10;4,70;0,80;0,00;3,40;0,00;Zien;0,522222222;4,7;1,50;5,237111241;4,666666667;high;#N/B;#N/B;#N/B;12;2,463766124;12;3;10;N;5,15;631,62;0,925;1172,08;0,99
traiteur;0,42;3,42;1,42;1,42;0,58;0,00;Zien;0,471264368;3,42;1,21;3,578941196;3,6;high;#N/B;#N/B;#N/B;13;1,848353955;8;2;6;N;2,5;571,46;0,951219512;1178,04;0,94
traject;0,33;3,00;0,00;0,00;0,42;0,00;Zien;0,8;3;0,63;3,004045468;3;high;#N/B;#N/B;#N/B;47;2,642224249;7;2;7;N;2,9;516,62;0,926829268;992,57;0,99
traktatie;1,00;3,75;1,00;1,25;0,92;1,00;Zien;0,317757009;3,75;1,49;3,881033368;2,8;low;#N/B;#N/B;#N/B;42;1,525431685;9;3;9;N;2,8;580,16;0,975;1365,04;0,97
trakteren;2,20;3,20;0,00;0,50;0,60;0,30;Zien;0,470588235;3,2;1,13;3,524561923;3,4;high;#N/B;#N/B;#N/B;168;2,27535755;9;3;8;WW;2,15;511,33;0,975609756;1159,23;0,99
tralie;0,20;4,10;0,00;0,00;3,00;0,20;Zien;0,546666667;4,1;1,25;4,577855126;4,466666667;high;5,67;high;van Loon;1;1,624098975;6;2;5;N;1,85;618,89;0,756097561;1173,78;0,96
tralies;0,82;3,45;0,00;0,00;2,36;0,27;Zien;0,5;3,45;1,15;3,802935144;4,6;high;#N/B;#N/B;#N/B;312;2,243957113;7;2;6;N;1,85;564,38;0,95;1050,86;0,99
tram;2,42;3,92;0,25;0,00;1,17;0,00;Zien;0,505376344;3,92;1,29;4,232111148;4,666666667;high;6,21875;high;de Deyne et al. 2008;79;3,178450651;4;1;4;N;1;501,84;0,9;932,58;1
trambestuurder;1,62;3,31;0,00;0,38;0,92;0,08;Zien;0,524390244;3,31;1,05;3,455157602;3,933333333;high;#N/B;#N/B;#N/B;0;2,747419358;14;4;13;N;4,05;706,14;0,87804878;1176,25;0,99
trampoline;1,38;3,08;0,08;0,00;2,00;0,46;Zien;0,43956044;3,08;1,17;3,416640815;4,8;high;#N/B;#N/B;#N/B;33;2,771438665;10;4;10;N;3,65;550,17;1;1088,78;1
trance;1,00;1,73;0,45;0,00;0,09;3,27;Sensaties;0,5;3,27;1,09;3,456642729;2,4;low;#N/B;#N/B;#N/B;149;1,780338083;6;1;5;N;1,85;562,19;0,756097561;1175,19;0,96
tranen;1,00;3,55;0,00;1,45;1,82;2,00;Zien;0,361111111;3,55;1,64;3,971783646;4,8;high;#N/B;#N/B;#N/B;884;2,869895315;6;2;5;WW;1,55;512,42;1;1007,88;1
transactie;0,58;2,17;0,00;0,00;0,83;0,42;Zien;0,541666667;2,17;0,67;2,225383233;2,6;low;#N/B;#N/B;#N/B;167;2,311476128;10;3;9;N;2,95;550,08;1;1031,37;0,99
transcendent;0,20;0,30;0,20;0,20;0,20;2,00;Sensaties;0,580645161;2;0,52;2,004904629;1,428571429;low;#N/B;#N/B;#N/B;6;1,631667878;12;3;11;ADJ;3;592,63;0,975;1302,14;0,92
transcendentaal;1,11;1,33;0,00;0,00;0,11;2,11;Sensaties;0,452380952;2,11;0,78;2,360479134;1,142857143;low;#N/B;#N/B;#N/B;0;0,912897687;15;4;13;ADJ;3,7;784,77;0,875;2044,64;0,78
transcendentie;0,30;0,90;0,00;0,00;0,00;1,30;Sensaties;0,52;1,3;0,42;1,434678144;1,571428571;low;#N/B;#N/B;#N/B;0;1,484709297;14;4;12;N;3,05;663,49;0,95;1693,98;0,89
transcriptie;0,00;3,80;0,00;0,00;0,80;0,00;Zien;0,826086957;3,8;0,77;3,81178245;2,733333333;low;#N/B;#N/B;#N/B;16;1,908168599;12;3;11;N;3,35;608,37;1;1204,67;0,97
transfer;1,20;2,60;0,00;0,00;0,90;0,00;Zien;0,553191489;2,6;0,78;2,715909726;3;high;#N/B;#N/B;#N/B;49;1,806582296;8;2;8;N;2,6;541,41;0,951219512;1094,49;0,97
transformatie;0,75;3,42;0,08;0,17;1,00;1,25;Zien;0,5;3,42;1,11;3,510581482;2,533333333;low;#N/B;#N/B;#N/B;92;2,190286653;13;4;13;N;3,25;543,60;1;1126,43;0,99
transformeren;0,55;3,36;0,00;0,00;1,09;2,18;Zien;0,46835443;3,36;1,20;3,681649593;2,4;low;#N/B;#N/B;#N/B;50;2,635642264;13;4;12;WW;2,75;539,88;1;1104,1;0,99
transfusie;0,36;2,55;0,09;0,00;0,82;0,82;Zien;0,549019608;2,55;0,77;2,603010072;2,714285714;low;#N/B;#N/B;#N/B;28;2,353970154;10;3;9;N;3,6;595,94;1;1156,65;0,98
transistor;1,75;2,00;0,00;0,00;1,13;0,13;Zien;0,4;2;0,83;2,454380958;3,181818182;high;#N/B;#N/B;#N/B;16;1,454266225;10;3;10;N;3,15;657,23;0,75;1266,38;0,94
transitie;0,30;1,40;0,20;0,00;0,20;0,30;Zien;0,583333333;1,4;0,40;1,411804942;1,571428571;low;#N/B;#N/B;#N/B;3;1,620567382;9;3;9;N;2,45;586,47;0,780487805;1401,51;0,92
transitief;0,83;1,83;0,00;0,00;0,00;0,00;Zien;0,6875;1,83;0,44;1,889017036;1,416666667;low;#N/B;#N/B;#N/B;0;1,290607325;10;3;9;ADJ;2,75;663,57;0,925;1551,12;0,79
translatie;1,67;1,89;0,00;0,00;0,22;0,00;Zien;0,5;1,89;0,63;2,249298386;1,692307692;low;#N/B;#N/B;#N/B;0;1,003854303;10;3;10;N;2,45;568,59;0,926829268;1443,04;0,8
transmissie;1,36;2,00;0,45;0,00;0,82;0,45;Zien;0,392857143;2;0,85;2,242110617;2,333333333;low;#N/B;#N/B;#N/B;114;2,685338863;11;3;9;N;3,65;611,67;0,975;1172,38;0,99
transparant;0,15;3,85;0,00;0,00;0,00;0,31;Zien;0,892857143;3,85;0,72;3,846892166;3,466666667;high;#N/B;#N/B;#N/B;26;2,817848874;11;3;11;ADJ;3,15;504,01;0,975609756;1046,61;0,99
transparantie;0,46;3,85;0,31;0,38;0,23;0,54;Zien;0,626666667;3,85;0,96;3,854086193;2,666666667;low;#N/B;#N/B;#N/B;4;2,844925482;13;4;12;N;2,8;576,99;0,975609756;1294,19;0,99
transpiratie;0,00;3,20;4,40;1,40;3,10;1,60;Ruiken;0,321167883;4,4;2,28;5,36686384;3,466666667;high;#N/B;#N/B;#N/B;14;2,745799741;12;4;12;N;2,8;553,67;0,975609756;1185,16;1
transpireren;0,18;3,00;2,18;0,18;1,27;1,91;Zien;0,322916667;3;1,45;3,593861221;3,866666667;high;#N/B;#N/B;#N/B;5;2,226869095;12;4;11;WW;2,5;567,06;0,975;1230,98;0,99
transplantatie;0,69;3,31;0,38;0,00;2,92;1,62;Zien;0,370689655;3,31;1,49;4,036515139;3,4;high;#N/B;#N/B;#N/B;83;2,701239315;14;4;14;N;3,6;661,55;0,975609756;1376,86;1
transport;0,58;3,00;0,00;0,00;0,77;0,00;Zien;0,689248895;3;0,73;3,024016902;2,666666667;low;#N/B;#N/B;#N/B;404;2,549033813;9;2;9;N;2,75;530,05;1;1020,39;0,99
transporteren;0,55;1,55;0,00;0,00;1,27;0,73;Zien;0,377777778;1,55;0,68;1,846892725;3,333333333;high;#N/B;#N/B;#N/B;42;3,145133521;13;4;12;WW;2,55;552,45;1;1156,36;0,99
transporteur;0,64;2,09;0,00;0,00;0,27;0,00;Zien;0,696969697;2,09;0,50;2,111892738;3,466666667;high;#N/B;#N/B;#N/B;19;2,005508758;12;3;11;N;2,85;612,24;0,926829268;1246,96;0,99
transportmiddel;2,17;3,58;0,50;0,17;1,58;0,00;Zien;0,447916667;3,58;1,33;3,920975089;3,533333333;high;#N/B;#N/B;#N/B;8;2,574036301;15;4;14;N;4,5;588,38;1;1254,32;0,99
transpositie;0,20;1,00;0,00;0,00;0,67;0,20;Zien;0,483870968;1;0,34;1,094823139;1,333333333;low;#N/B;#N/B;#N/B;0;1,830108618;12;4;12;N;3,45;635,07;0,9;1525,17;0,92
trap;1,00;4,40;0,20;0,00;2,50;0,00;Zien;0,543209877;4,4;1,35;4,66953282;4,733333333;high;6,68;high;van Loon;2286;2,383440216;4;1;4;N;1,45;495,27;1;940,57;1
trapeze;0,30;4,10;0,00;0,00;2,70;0,00;Zien;0,577464789;4,1;1,18;4,45856617;4,733333333;high;6,43;high;van Loon;33;2,327384685;7;3;7;N;2,55;640,66;0,731707317;1147,11;0,99
trapezium;0,50;3,83;0,00;0,00;1,92;0,00;Zien;0,613333333;3,83;1,04;3,989447009;4,4;high;#N/B;#N/B;#N/B;0;2,51477173;9;4;10;N;3,65;605,83;0,87804878;1276,51;0,94
trapgevel;0,00;3,40;0,00;0,00;2,40;0,00;Zien;0,586206897;3,4;0,97;3,759307251;4,214285714;high;#N/B;#N/B;#N/B;0;2,04031405;9;3;9;N;2,95;615,53;0,902439024;1184,41;0,98
trapleuning;0,00;3,69;0,08;0,00;3,62;0,00;Zien;0,5;3,69;1,23;4,604074873;4,8;high;#N/B;#N/B;#N/B;9;2,572754284;11;3;9;N;4,05;600,37;0,75;1126,09;0,99
trappelen;1,50;3,20;0,00;0,00;1,70;0,70;Zien;0,450704225;3,2;1,18;3,45936683;4;high;#N/B;#N/B;#N/B;51;2,542680349;9;3;7;WW;1,8;558,76;0,975;1049,79;1
trappen;0,82;3,00;0,00;0,00;2,73;0,00;Zien;0,458333333;3;1,09;3,630026843;4,333333333;high;6,33;high;van Loon;810;3,193949004;7;2;5;WW;1,6;507,26;1;999,03;1
trappenhuis;0,36;3,45;0,27;0,45;1,55;0,00;Zien;0,567164179;3,45;1,02;3,558990355;3,857142857;high;#N/B;#N/B;#N/B;81;2,601727549;11;3;8;N;3,65;585,56;0,975;1055,97;1
trapper;0,75;3,33;0,00;0,00;2,17;0,17;Zien;0,519480519;3,33;1,07;3,625001835;3,538461538;high;5,83;high;van Loon;25;1,717921323;7;2;6;N;1,7;567,71;0,875;1231,3;0,96
trappist;0,92;3,58;1,67;2,67;1,42;0,25;Zien;0,317460317;3,58;1,75;4,183774109;4,466666667;high;#N/B;#N/B;#N/B;0;2,133067017;8;2;7;N;2,8;536,66;0,975609756;1185,28;0,96
trapsgewijs;0,73;1,18;0,00;0,00;0,27;0,36;Zien;0,464285714;1,18;0,42;1,281327042;3,066666667;high;#N/B;#N/B;#N/B;0;2,635479833;11;3;10;ADJ;3,05;603,03;0,951219512;1144,61;0,98
trauma;1,08;3,17;0,00;0,00;1,75;3,25;Sensaties;0,351351351;3,25;1,54;4,173865334;2,533333333;low;3,4;low;van Loon;239;2,800467338;6;2;5;N;2,45;550,43;0,951219512;997,93;1
traumatisch;1,85;2,15;0,08;0,08;0,92;3,85;Sensaties;0,422413793;3,85;1,49;4,197716598;1,8;low;#N/B;#N/B;#N/B;45;2,379312555;11;3;8;ADJ;2,9;583,84;0,975609756;1137,71;0,99
traumatiseren;2,18;3,18;0,45;0,45;1,27;3,82;Sensaties;0,296;3,82;1,89;4,649491529;2,066666667;low;#N/B;#N/B;#N/B;4;2,805083481;13;5;11;WW;3,2;628,80;0,975;1148,88;1
travestie;0,82;3,73;0,00;0,00;0,64;1,45;Zien;0,561643836;3,73;1,11;3,818198997;3,461538462;high;#N/B;#N/B;#N/B;16;1,830472779;9;3;8;N;2,65;584,26;0,875;1253,79;0,96
travestiet;1,50;4,30;0,40;0,00;1,10;1,10;Zien;0,511904762;4,3;1,40;4,407288197;3,533333333;high;#N/B;#N/B;#N/B;107;2,260558564;10;3;9;N;3;599,25;0,95;1110,39;0,99
trechter;0,17;4,50;0,00;0,00;2,75;0,00;Zien;0,606741573;4,5;1,24;4,819229927;4,866666667;high;6,2;high;van Loon;23;3,120541497;8;2;7;N;1,9;597,32;0,951219512;1044,51;1
trede;0,09;3,45;0,00;0,00;2,00;0,18;Zien;0,603174603;3,45;0,95;3,665094372;4,4;high;4,73;high;van Loon;38;2,161144847;5;2;5;N;1,6;556,01;0,87804878;1073,85;0,98
treden;0,67;3,50;0,00;0,00;2,33;0,00;Zien;0,538461538;3,5;1,08;3,823013621;3,733333333;high;4,73;high;van Loon;463;2,515714062;6;2;5;WW;1,55;563,71;0,975609756;1033,77;0,99
treffelijk;1,00;1,85;0,38;0,38;0,23;1,15;Zien;0,323076923;1,85;0,83;2,076571289;1,8;low;#N/B;#N/B;#N/B;0;1,816145214;10;3;8;ADJ;2,8;594,15;1;1224,19;0,78
treffen;0,36;1,73;0,00;0,00;1,09;0,45;Zien;0,475;1,73;0,61;1,875165136;2,533333333;low;5,53;high;van Loon;572;3,180839201;7;2;5;WW;1,85;491,81;0,926829268;1023,59;1
treffend;1,00;2,00;0,00;0,00;1,33;0,67;Zien;0,4;2;0,83;2,268030705;1,666666667;low;#N/B;#N/B;#N/B;26;3,16481012;8;2;7;ADJ;1,9;539,38;0,926829268;985,15;0,99
treffer;0,50;2,90;0,00;0,00;1,60;0,30;Zien;0,547169811;2,9;0,88;3,059443987;2,866666667;low;#N/B;#N/B;#N/B;51;2,073540764;7;2;6;N;1,95;518,66;1;1007,18;0,99
trefpunt;0,31;2,77;0,00;0,00;0,46;0,15;Zien;0,75;2,77;0,62;2,774917091;3,2;high;#N/B;#N/B;#N/B;17;3,193756375;8;2;8;N;2,9;544,92;0,95;998,27;1
trefwoord;1,92;2,58;0,00;0,00;0,00;0,00;Zien;0,574074074;2,58;0,75;2,895722986;2,066666667;low;#N/B;#N/B;#N/B;3;2,718367862;9;2;8;N;3,1;520,19;1;991,41;1
trefzeker;0,33;1,89;0,00;0,00;1,33;0,33;Zien;0,485714286;1,89;0,65;2,094149509;1,8;low;#N/B;#N/B;#N/B;9;1,65678005;9;3;9;ADJ;3,15;596,75;0,853658537;1091,22;0,95
trein;4,40;4,90;0,80;0,00;2,80;0,80;Zien;0,357664234;4,9;2,28;6,089482908;5;high;6,696969697;high;de Deyne et al. 2008;3199;2,817527351;5;1;4;N;1,65;484,43;1;940,3;0,99
treinkaartje;0,00;4,50;0,00;0,00;2,40;0,00;Zien;0,652173913;4,5;1,15;4,716930039;4,333333333;high;6,3;high;van Loon;28;2,434995666;12;3;10;N;3,55;582,86;0,975;1029,24;1
treinreis;2,70;2,30;0,40;0,00;0,60;1,60;Horen;0,355263158;2,7;1,27;3,308822429;4,133333333;high;#N/B;#N/B;#N/B;18;2,59666999;9;2;7;N;2,75;593,50;0,926829268;1090,29;0,99
treinstation;2,00;3,92;0,15;0,00;0,00;0,00;Zien;0,64556962;3,92;1,01;4,089281629;4,933333333;high;#N/B;#N/B;#N/B;57;2,306054425;12;4;12;N;3,9;567,31;0,975609756;1115,71;0,99
treinstel;2,00;4,33;0,00;0,00;1,00;0,22;Zien;0,573529412;4,33;1,26;4,487725303;4,428571429;high;#N/B;#N/B;#N/B;4;2,21958071;9;2;8;N;2,85;674,67;0,8;1107,12;0,99
treiteren;2,75;2,25;0,00;0,00;0,83;0,75;Horen;0,417721519;2,75;1,10;3,213616415;2,866666667;low;4,5;high;van Loon;71;2,574008886;9;3;7;WW;1,9;607,84;0,87804878;1038,35;0,99
treiterig;2,77;1,92;0,00;0,00;1,00;2,46;Horen;0,339622642;2,77;1,36;3,53737061;2,133333333;low;#N/B;#N/B;#N/B;0;1,547151933;9;3;8;ADJ;2,05;709,03;0,731707317;1279,23;0,93
trek;0,50;1,30;0,20;0,40;0,70;2,30;Sensaties;0,388888889;2,3;0,90;2,460939558;2,533333333;low;3,2;low;van Loon;5498;2,655070958;4;1;4;N;1,3;535,53;1;968,99;1
trekdier;1,50;3,42;0,67;0,00;1,17;0,00;Zien;0,50617284;3,42;1,13;3,56068584;3,933333333;high;#N/B;#N/B;#N/B;0;2,388001253;8;2;7;N;2,5;663,95;0,875;1149,22;0,99
trekgat;0,78;1,56;0,00;0,00;0,56;0,33;Zien;0,482758621;1,56;0,54;1,643972215;3,714285714;high;#N/B;#N/B;#N/B;0;1,63627401;7;2;7;N;2,35;612,36;0,829268293;1279,9;0,9
